Date,Tiker,Price
2019-10-11,TIK1,29.750000
2019-10-14,TIK1,30.530001
2019-10-15,TIK1,30.719999
2019-10-16,TIK1,30.809999
2019-10-17,TIK1,31.139999
2019-10-18,TIK1,30.969999
2019-10-21,TIK1,32.029999
2019-10-22,TIK1,31.510000
2019-10-23,TIK1,31.360001
2019-10-24,TIK1,31.719999
2019-10-25,TIK1,32.709999
2019-10-28,TIK1,33.689999
2019-10-29,TIK1,33.029999
2019-10-30,TIK1,33.130001
2019-10-31,TIK1,33.930000
2019-11-01,TIK1,34.889999
2019-11-04,TIK1,36.290001
2019-11-05,TIK1,36.150002
2019-11-06,TIK1,35.930000
2019-11-07,TIK1,36.279999
2019-11-08,TIK1,36.290001
2019-11-11,TIK1,36.310001
2019-11-12,TIK1,36.709999
2019-11-13,TIK1,37.520000
2019-11-14,TIK1,38.349998
2019-11-15,TIK1,38.560001
2019-11-18,TIK1,39.880001
2019-11-19,TIK1,41.290001
2019-11-20,TIK1,40.980000
2019-11-21,TIK1,39.520000
2019-11-22,TIK1,39.150002
2019-11-25,TIK1,39.790001
2019-11-26,TIK1,38.990002
2019-11-27,TIK1,39.410000
2019-11-29,TIK1,39.150002
2019-12-02,TIK1,38.730000
2019-12-03,TIK1,38.900002
2019-12-04,TIK1,39.689999
2019-12-05,TIK1,39.619999
2019-12-06,TIK1,39.630001
2019-12-09,TIK1,38.930000
2019-12-10,TIK1,39.439999
2019-12-11,TIK1,39.470001
2019-12-12,TIK1,42.590000
2019-12-13,TIK1,41.150002
2019-12-16,TIK1,42.349998
2019-12-17,TIK1,42.770000
2019-12-18,TIK1,42.299999
2019-12-19,TIK1,42.830002
2019-12-20,TIK1,44.150002
2019-12-23,TIK1,45.459999
2019-12-24,TIK1,46.540001
2019-12-26,TIK1,46.630001
2019-12-27,TIK1,46.180000
2019-12-30,TIK1,45.520000
2019-12-31,TIK1,45.860001
2020-01-02,TIK1,49.099998
2020-01-03,TIK1,48.599998
2020-01-06,TIK1,48.389999
2020-01-07,TIK1,48.250000
2020-01-08,TIK1,47.830002
2020-01-09,TIK1,48.970001
2020-01-10,TIK1,48.169998
2020-01-13,TIK1,48.750000
2020-01-14,TIK1,48.209999
2020-01-15,TIK1,48.549999
2020-01-16,TIK1,49.770000
2020-01-17,TIK1,50.930000
2020-01-21,TIK1,51.049999
2020-01-22,TIK1,51.430000
2020-01-23,TIK1,51.709999
2020-01-24,TIK1,50.349998
2020-01-27,TIK1,49.259998
2020-01-28,TIK1,50.529999
2020-01-29,TIK1,47.509998
2020-01-30,TIK1,48.779999
2020-01-31,TIK1,47.000000
2020-02-03,TIK1,48.020000
2020-02-04,TIK1,49.450001
2020-02-05,TIK1,49.840000
2020-02-06,TIK1,49.320000
2020-02-07,TIK1,49.730000
2020-02-10,TIK1,52.259998
2020-02-11,TIK1,53.799999
2020-02-12,TIK1,53.889999
2020-02-13,TIK1,54.529999
2020-02-14,TIK1,55.310001
2020-02-18,TIK1,56.889999
2020-02-19,TIK1,58.900002
2020-02-20,TIK1,57.270000
2020-02-21,TIK1,53.279999
2020-02-24,TIK1,49.119999
2020-02-25,TIK1,47.570000
2020-02-26,TIK1,47.490002
2020-02-27,TIK1,44.009998
2020-02-28,TIK1,45.480000
2020-03-02,TIK1,47.459999
2020-03-03,TIK1,46.750000
2020-03-04,TIK1,50.110001
2020-03-05,TIK1,48.110001
2020-03-06,TIK1,48.590000
2020-03-09,TIK1,43.270000
2020-03-10,TIK1,45.380001
2020-03-11,TIK1,45.700001
2020-03-12,TIK1,39.009998
2020-03-13,TIK1,43.900002
2020-03-16,TIK1,38.709999
2020-03-17,TIK1,41.880001
2020-03-18,TIK1,39.119999
2020-03-19,TIK1,39.820000
2020-03-20,TIK1,39.610001
2020-03-23,TIK1,41.639999
2020-03-24,TIK1,46.220001
2020-03-25,TIK1,44.630001
2020-03-26,TIK1,47.500000
2020-03-27,TIK1,46.580002
2020-03-30,TIK1,47.860001
2020-03-31,TIK1,45.480000
2020-04-01,TIK1,43.660000
2020-04-02,TIK1,44.490002
2020-04-03,TIK1,42.590000
2020-04-06,TIK1,47.520000
2020-04-07,TIK1,47.560001
2020-04-08,TIK1,48.790001
2020-04-09,TIK1,48.380001
2020-04-13,TIK1,50.939999
2020-04-14,TIK1,54.930000
2020-04-15,TIK1,54.990002
2020-04-16,TIK1,56.950001
2020-04-17,TIK1,56.599998
2020-04-20,TIK1,56.970001
2020-04-21,TIK1,52.919998
2020-04-22,TIK1,55.919998
2020-04-23,TIK1,55.900002
2020-04-24,TIK1,56.180000
2020-04-27,TIK1,56.490002
2020-04-28,TIK1,55.509998
2020-04-29,TIK1,53.660000
2020-04-30,TIK1,52.389999
2020-05-01,TIK1,49.880001
2020-05-04,TIK1,52.560001
2020-05-05,TIK1,52.189999
2020-05-06,TIK1,52.160000
2020-05-07,TIK1,51.950001
2020-05-08,TIK1,53.189999
2020-05-11,TIK1,55.740002
2020-05-12,TIK1,53.759998
2020-05-13,TIK1,52.180000
2020-05-14,TIK1,54.509998
2020-05-15,TIK1,54.200001
2020-05-18,TIK1,54.590000
2020-05-19,TIK1,55.470001
2020-05-20,TIK1,56.389999
2020-05-21,TIK1,54.650002
2020-05-22,TIK1,55.169998
2020-05-26,TIK1,53.189999
2020-05-27,TIK1,52.740002
2020-05-28,TIK1,51.740002
2020-05-29,TIK1,53.799999
2020-06-01,TIK1,53.630001
2020-06-02,TIK1,53.540001
2020-06-03,TIK1,52.730000
2020-06-04,TIK1,52.630001
2020-06-05,TIK1,53.099998
2020-06-08,TIK1,52.970001
2020-06-09,TIK1,56.389999
2020-06-10,TIK1,57.439999
2020-06-11,TIK1,52.830002
2020-06-12,TIK1,53.500000
2020-06-15,TIK1,54.680000
2020-06-16,TIK1,54.459999
2020-06-17,TIK1,54.549999
2020-06-18,TIK1,54.040001
2020-06-19,TIK1,54.230000
2020-06-22,TIK1,54.759998
2020-06-23,TIK1,53.990002
2020-06-24,TIK1,52.389999
2020-06-25,TIK1,51.930000
2020-06-26,TIK1,50.099998
2020-06-29,TIK1,50.279999
2020-06-30,TIK1,52.610001
